Designator,Mid X,Mid Y,Rotation,Layer
D1,5.25,57.0,0.0,top
D10,53.0,50.75,0.0,top
D11,56.25,57.0,0.0,top
D12,65.0,50.75,0.0,top
D13,61.25,57.0,0.0,top
D14,77.0,50.75,0.0,top
D15,66.25,57.0,0.0,top
D16,89.0,50.75,0.0,top
D2,5.0,50.75,0.0,top
D3,10.25,57.0,0.0,top
D4,17.0,50.75,0.0,top
D5,15.25,57.0,0.0,top
D6,29.0,50.75,0.0,top
D7,20.25,57.0,0.0,top
D8,41.0,50.75,0.0,top
D9,51.25,57.0,0.0,top
J1,75.0,57.75,180.0,top
J2,39.75,57.75,180.0,top
J3,87.990536,57.761891,180.0,top
J4,11.75,11.0,0.0,top
J5,35.75,11.0,0.0,top
J6,59.75,11.0,0.0,top
J7,83.75,11.0,0.0,top
K1,7.0,37.025,270.0,top
K2,19.0,37.025,270.0,top
K3,31.0,37.025,270.0,top
K4,43.0,37.025,270.0,top
K5,55.0,37.025,270.0,top
K6,67.0,37.025,270.0,top
K7,79.0,37.025,270.0,top
K8,91.0,37.025,270.0,top
R1,26.25,61.5,180.0,top
R2,26.25,60.0,180.0,top
R3,26.25,58.5,180.0,top
R4,26.25,57.0,180.0,top
R5,69.5,64.0,180.0,top
R6,69.5,62.5,180.0,top
R7,69.5,61.0,180.0,top
R8,69.5,59.5,180.0,top
RV1,6.5,21.75,0.0,top
RV2,18.5,21.75,0.0,top
RV3,30.5,21.75,0.0,top
RV4,42.5,21.75,0.0,top
RV5,54.5,21.75,0.0,top
RV6,66.5,21.75,0.0,top
RV7,78.5,21.75,0.0,top
RV8,90.5,21.75,0.0,top
